Movie_Title,Released_Year,Rating,Runtime,Genre,IMDB_Rating,Meta_score,Director,Star1,No_of_Votes,Gross,Num_Genres
Once Upon a Time... in Hollywood,2019,R,161,Comedy,7.6,83.0,Quentin Tarantino,Leonardo DiCaprio,551309,142502728,2
Nelyubov,2017,R,127,Drama,7.6,86.0,Andrey Zvyagintsev,Maryana Spivak,29765,566356,1
The Florida Project,2017,R,111,Drama,7.6,92.0,Sean Baker,Brooklynn Prince,95181,5904366,1
Gifted,2017,PG-13,101,Drama,7.6,60.0,Marc Webb,Chris Evans,99643,24801212,1
The Peanut Butter Falcon,2019,PG-13,97,Adventure,7.6,70.0,Tyler Nilson,Michael Schwartz,66346,13122642,3
Mustang,2015,PG-13,97,Drama,7.6,83.0,Deniz Gamze Ergüven,Günes Sensoy,35785,845464,1
Guardians of the Galaxy Vol. 2,2017,PG-13,136,Action,7.6,67.0,James Gunn,Chris Pratt,569974,389813101,3
Baby Driver,2017,PG-13,113,Action,7.6,86.0,Edgar Wright,Ansel Elgort,439406,107825862,3
Only the Brave,2017,PG-13,134,Action,7.6,72.0,Joseph Kosinski,Josh Brolin,58371,18340051,3
Bridge of Spies,2015,PG-13,142,Drama,7.6,81.0,Steven Spielberg,Tom Hanks,287659,72313754,3
Incredibles 2,2018,PG-13,118,Animation,7.6,80.0,Brad Bird,Craig T. Nelson,250057,608581744,3
Moana,2016,G,107,Animation,7.6,81.0,Ron Clements,John Musker,272784,248757044,3
Sicario,2015,R,121,Action,7.6,82.0,Denis Villeneuve,Emily Blunt,371291,46889293,3
Creed,2015,R,133,Drama,7.6,82.0,Ryan Coogler,Michael B. Jordan,247666,109767581,2
Leviafan,2014,R,140,Crime,7.6,92.0,Andrey Zvyagintsev,Aleksey Serebryakov,49397,1092800,2
Hell or High Water,2016,R,102,Action,7.6,88.0,David Mackenzie,Chris Pine,204175,26862450,3
Philomena,2013,PG-13,98,Biography,7.6,77.0,Stephen Frears,Judi Dench,94212,37707719,3
Dawn of the Planet of the Apes,2014,PG-13,130,Action,7.6,79.0,Matt Reeves,Gary Oldman,411599,208545589,3
Serbuan maut,2011,R,101,Action,7.6,73.0,Gareth Evans,Iko Uwais,190531,4105123,2
End of Watch,2012,R,109,Action,7.6,68.0,David Ayer,Jake Gyllenhaal,228132,41003371,3
Kari-gurashi no Arietti,2010,G,94,Animation,7.6,80.0,Hiromasa Yonebayashi,Amy Poehler,80939,19202743,3
A Star Is Born,2018,PG-13,136,Drama,7.6,88.0,Bradley Cooper,Lady Gaga,334312,215288866,3
True Grit,2010,PG-13,110,Drama,7.6,80.0,Ethan Coen,Joel Coen,311822,171243005,2
Hævnen,2010,R,118,Drama,7.6,65.0,Susanne Bier,Mikael Persbrandt,38491,1008098,2
Despicable Me,2010,G,95,Animation,7.6,72.0,Pierre Coffin,Chris Renaud,500851,251513985,3
50/50,2011,R,100,Comedy,7.6,72.0,Jonathan Levine,Joseph Gordon-Levitt,315426,35014192,3
Kick-Ass,2010,PG-13,117,Action,7.6,66.0,Matthew Vaughn,Aaron Taylor-Johnson,524081,48071303,3
Moneyball,2011,PG-13,133,Biography,7.6,87.0,Bennett Miller,Brad Pitt,369529,75605492,3
La piel que habito,2011,R,120,Drama,7.6,70.0,Pedro Almodóvar,Antonio Banderas,138959,3185812,3
Zombieland,2009,R,88,Adventure,7.6,73.0,Ruben Fleischer,Jesse Eisenberg,520041,75590286,3
Sherlock Holmes,2009,PG-13,128,Action,7.6,57.0,Guy Ritchie,Robert Downey Jr.,583158,209028679,3
The Blind Side,2009,PG-13,129,Biography,7.6,53.0,John Lee Hancock,Quinton Aaron,293266,255959475,3
